Species;Ind;Height;dia1;dia2;Xdia1;Xdia2;bio_leaves;bio_roots;bio_stem;LA
Anthyllis;1;24;2,68;2,9;2,67;2,31;0,311;0,244;0,616;
Anthyllis;2;27;3,24;2,97;2,63;2,6;0,532;0,385;0,847;
Anthyllis;3;26,5;2,9;2,71;2,08;1,89;0,322;0,138;0,418;
Anthyllis;4;26;4,28;4,15;3,51;3,44;0,712;0,475;1,24;
Anthyllis;5;27,3;3,27;2,89;2,46;2,39;0,299;0,253;0,942;
Anthyllis;6;22,2;3,04;3,95;2,44;2,35;0,16;0,322;0,53;
Anthyllis;7;15,5;2,78;2,5;1,74;1,79;0,196;0,22;0,213;
Anthyllis;8;20,8;3,09;3,75;2,43;2,53;0,138;0,167;0,713;
Anthyllis;9;21,5;1,98;1,8;1,56;1,52;0,3;0,27;0,289;
Anthyllis;10;23,4;2,98;3,11;2,92;2,6;0,399;0,769;0,788;
Anthyllis;11;18,5;2,42;2,23;2;1,78;0,189;0,266;0,537;
Anthyllis;12;20,5;1,72;1,55;1,64;1,54;0,114;0,295;0,19;
Pistacia;1;25,2;4;3,67;3,2;3,35;0,7;0,974;0,89;
Pistacia;2;23,8;6,29;6,31;5,92;5,8;1,643;1,852;1,91;
Pistacia;3;23,2;4,11;4,18;3,4;3,62;1,527;0,763;0,907;
Pistacia;4;22,8;3,41;3,65;3,4;3,41;0,91;0,488;0,816;
Pistacia;5;26,4;3,91;3,86;3,4;3,56;1,315;1,001;1,16;
Pistacia;6;27,1;4,41;4,46;4,14;4,32;1,275;1,004;1,189;
Pistacia;7;23,1;4,28;4,34;3,81;3,7;1,422;2,016;1,452;
Pistacia;8;26,1;4,6;4,61;4,37;4,19;2,277;0,983;1,603;
Pistacia;9;30,2;3,58;3,79;3,3;3,38;1,59;0,751;0,915;
Pistacia;10;20,8;3,46;3,26;3,17;3,11;0,994;0,477;0,768;
Pistacia;11;25,9;3,53;3,47;3,23;3,21;1,159;0,817;1,073;
Pistacia;12;25,3;3,18;3,16;2,86;2,83;0,907;0,39;0,965;
Dorycnium;1;29,1;3,01;3,2;2,85;2,65;0,048;0,327;1,084;
Dorycnium;2;32,6;3,73;3,71;3,53;3,3;0,359;0,972;2,35;
Dorycnium;3;30,8;4,43;4,14;3,54;4,07;0,366;0,587;2,22;
Dorycnium;4;31,6;3,13;3,21;3;3,21;0,066;0,416;1,895;
Dorycnium;5;28,5;4,11;3,99;3,92;3,67;0,228;0,726;2,011;
Dorycnium;6;30,1;3,04;3,21;2,86;2,75;0,048;0,549;1,186;
Dorycnium;7;33,7;4,93;4,87;4,42;4,41;0,13;0,966;3,587;
Dorycnium;8;28,8;3,89;4,15;3,98;3,68;0,084;0,892;2,4;
Dorycnium;9;27,6;3,54;3,56;3,2;3,35;0,088;0,477;1,75;
Dorycnium;10;32,5;3,27;3,3;3,07;3,14;0,113;0,52;1,803;
Dorycnium;11;36,6;3,46;3,18;3,14;3,16;0,051;0,193;1,539;
Dorycnium;12;31,9;2,57;2,38;2,33;2,07;0,135;0,475;1,593;
