label;terrace;plot;microsite;com;probes;TDR1;TDR2;TDR3;TDR4
563;2;5;1;A;1;0,267;0,057;0,077;0,072
568;2;5;0;D;1;0,063;0,059;0,062;0,065
570;2;5;0;P;1;0,057;0,054;0,063;0,061
625;2;5;1;A;1;0,168;0,059;0,057;0,056
585;2;5;1;P;1;0,085;0,065;0,108;0,09
587;2;5;0;A;1;0,137;0,051;0,067;
588;2;5;1;M;1;0,115;0,049;0,047;0,047
589;2;5;0;M;1;0,136;0,041;0,044;0,045
597;2;5;0;M;1;0,096;0,035;0,049;0,04
598;2;5;1;P;1;0,073;0,051;0,054;0,056
599;2;5;0;P;1;0,124;0,051;0,057;0,055
618;2;5;1;D;1;0,082;0,035;0,035;0,036
624;2;5;0;A;1;0,101;0,051;0,061;0,056
628;2;5;0;D;1;0,099;0,053;0,051;0,055
629;2;5;1;D;1;0,167;0,049;0,053;0,047
631;2;5;0;D;1;0,184;0,033;0,037;0,032
637;2;5;1;D;1;0,057;0,033;0,068;0,055
487;2;6;0;A;1;0,132;0,057;0,056;0,054
490;2;6;0;D;1;0,062;0,041;0,101;0,068
502;2;6;1;P;1;0,06;0,048;0,054;0,052
503;2;6;0;P;1;0,033;0,041;0,044;0,039
504;2;6;1;P;1;0,068;0,042;0,054;0,048
505;2;6;0;P;1;0,124;0,048;0,059;0,054
506;2;6;1;D;1;0,512;0,041;0,088;0,055
514;2;6;1;D;1;0,108;0,06;0,079;0,08
515;2;6;0;D;1;0,088;0,049;0,073;0,067
521;2;6;1;P;1;0,111;0,056;0,103;0,072
523;2;6;1;P;1;0,078;0,063;0,062;0,056
535;2;6;0;P;1;0,165;0,054;0,11;0,089
552;2;6;1;M;1;0,101;0,05;0,051;0,063
555;2;6;1;A;1;0,068;0,034;0,042;
556;2;6;0;A;1;0,073;0,054;0,054;0,053
557;2;6;1;M;1;0,214;0,048;0,072;0,059
558;2;6;0;M;1;0,193;0,03;0,03;0,031
642;2;7;1;A;1;0,069;0,034;0,084;0,07
657;2;7;1;M;1;0,078;0,055;0,117;0,048
660;2;7;1;M;1;0,094;0,061;0,123;0,093
409;2;8;1;D;1;0,171;0,042;0,051;
410;2;8;0;D;1;0,137;0,036;0,077;0,066
421;2;8;0;A;1;0,321;0,074;0,062;0,078
428;2;8;1;A;1;0,104;0,075;0,078;0,075
432;2;8;0;M;1;0,118;0,078;0,073;0,049
434;2;8;1;A;1;0,155;0,049;0,055;0,045
443;2;8;0;M;1;0,297;0,084;0,083;
446;2;8;1;M;1;0,063;0,083;0,075;
451;2;8;0;A;1;0,124;0,065;0,064;0,055
452;2;8;1;A;1;0,099;0,059;0,077;0,069
462;2;8;0;A;1;0,16;0,051;0,078;0,068
480;2;8;1;A;1;0,163;0,06;0,067;0,053
887;3;9;0;M;1;0,33;;0,075;
891;3;9;0;M;1;0,149;;0,048;0,049
892;3;9;1;M;1;0,177;;0,091;0,053
899;3;9;0;P;1;0,218;;0,058;0,056
907;3;9;0;A;1;0,057;;0,056;0,054
913;3;9;0;M;1;0,266;;0,086;0,036
915;3;9;0;D;1;0,117;;0,05;0,048
923;3;9;0;A;1;0,187;;0,084;0,074
925;3;9;1;P;1;0,129;;0,045;0,045
926;3;9;0;D;1;0,135;;0,046;0,046
928;3;9;0;P;1;0,124;;0,067;0,058
936;3;9;0;P;1;0,147;;0,078;0,076
939;3;9;1;M;1;0,054;;0,051;
948;3;9;0;D;1;0,15;;0,055;0,048
956;3;9;1;M;1;0,08;;0,086;0,068
1068;3;10;1;D;1;0,04;;0,029;0,024
1113;3;10;0;A;1;0,118;;0,052;0,055
1117;3;10;1;D;1;0,045;;0,06;0,051
1145;3;10;1;D;1;0,184;;0,061;0,053
1005;3;11;1;D;1;0,119;;0,045;0,038
1016;3;11;1;A;1;0,116;;0,037;0,04
1021;3;11;0;D;1;0,15;;0,077;0,061
1022;3;11;0;M;1;0,09;;0,064;0,056
1030;3;11;0;D;1;0,111;;0,06;0,059
1031;3;11;0;P;1;0,137;;0,09;0,079
1032;3;11;1;P;1;0,192;;0,083;0,085
1043;3;11;0;M;1;0,177;;0,085;0,08
1044;3;11;1;M;1;0,155;;0,073;0,069
1085;3;11;1;A;1;0,078;;0,069;0,059
1095;3;11;1;A;1;0,077;;0,067;0,073
1153;3;11;0;M;1;0,163;;0,091;0,084
1156;3;11;0;A;1;0,165;;0,132;0,111
805;3;12;1;A;1;0,192;;0,057;0,046
810;3;12;1;D;1;0,173;;0,038;0,052
814;3;12;0;P;1;0,53;;0,04;0,043
820;3;12;1;A;1;0,067;;0,143;0,03
825;3;12;0;P;1;0,164;;0,045;0,034
849;3;12;0;D;1;0,151;;0,062;
850;3;12;1;D;1;0,102;;0,057;
851;3;12;0;A;1;0,487;;0,053;0,053
854;3;12;0;A;1;0,336;;0,057;0,049
858;3;12;0;M;1;0,195;;0,076;
863;3;12;0;A;1;0,191;;0,055;0,054
865;3;12;1;P;1;0,203;;0,048;0,048
876;3;12;1;A;1;0,111;;0,053;0,051
362;4;13;0;P;1;0,074;;0,067;0,051
367;4;13;1;P;1;0,131;;0,115;0,098
375;4;13;0;M;1;0,068;;0,06;0,063
376;4;13;1;P;1;0,106;;0,094;0,076
384;4;13;1;M;1;0,185;;0,092;0,073
386;4;13;0;D;1;0,119;;0,115;0,108
969;4;13;1;A;1;0,052;;0,074;0,059
975;4;13;1;M;1;0,065;;0,132;0,086
984;4;13;1;D;1;0,076;;0,1;0,08
987;4;13;0;D;1;0,109;;0,103;0,127
296;4;14;1;D;1;0,083;;0,105;0,093
297;4;14;1;D;1;0,064;;0,094;0,088
300;4;14;1;D;1;0,084;;0,081;0,077
308;4;14;0;M;1;0,159;;0,092;0,036
319;4;14;1;M;1;0,074;;0,073;0,07
321;4;14;1;A;1;0,051;;0,097;0,078
331;4;14;0;P;1;0,072;;0,074;0,068
332;4;14;1;P;1;0,074;;0,071;0,064
353;4;14;1;D;1;0,161;;0,085;
1453;4;15;1;D;1;0,128;;0,094;0,073
1459;4;15;1;P;1;0,082;;0,083;0,066
1463;4;15;1;P;1;0,133;;0,054;0,051
1472;4;15;0;P;1;0,151;;0,077;0,078
1474;4;15;1;M;1;0,117;;0,059;0,048
1475;4;15;0;A;1;0,136;;0,053;0,043
1477;4;15;1;A;1;0,161;;0,094;
1480;4;15;0;A;;0,164;;0,064;
1496;4;15;1;P;1;0,084;;0,056;0,047
1503;4;15;0;D;1;0,043;;0,053;0,047
1506;4;15;0;A;1;0,067;;0,085;0,066
1524;4;15;1;P;1;0,053;;0,061;0,057
1530;4;15;;;;;;;
