ter;plot;label;ms;com;water;probes;soil.moisture.j0;soil.moisture;temperature
2;5;563;1;A;1;1;5,9;;
2;5;568;0;D;0;1;5,4;;
2;5;585;1;P;1;1;6,8;;
2;5;587;0;A;1;1;4,7;;
2;5;588;1;M;1;1;4,8;;
2;5;589;0;M;0;1;3,7;;
2;5;597;0;M;0;1;4,4;;
2;5;598;1;P;0;1;4,8;;
2;5;599;0;P;0;1;4,5;;
2;5;618;1;D;0;1;2,9;;
2;5;624;0;A;0;1;5,2;;
2;5;625;1;A;0;1;5;;
2;5;628;0;D;0;1;5,1;;
2;5;629;1;D;0;1;4,4;;
2;5;631;0;D;0;1;3,2;;
2;5;637;1;D;0;1;5,6;;
2;6;490;0;D;1;1;4,1;;
2;6;502;1;P;0;1;4,4;;
2;6;503;0;P;0;1;3,7;;
2;6;504;1;P;1;1;4,8;;
2;6;505;0;P;1;1;4,7;;
2;6;506;1;D;1;1;4;;
2;6;514;1;D;1;1;5,8;;
2;6;515;0;D;1;1;4,8;;
2;6;523;1;P;0;1;5,7;;
2;6;552;1;M;1;1;4,9;;
2;6;557;1;M;1;1;4,7;;
2;6;558;0;M;0;1;2,2;;
2;6;560;0;A;0;1;4,4;;
2;7;642;1;A;0;1;4,2;;
2;7;656;0;M;0;1;4;;
2;7;657;1;M;1;1;5;;
2;7;660;1;M;1;1;5,5;;
2;8;409;1;D;1;1;6,2;;
2;8;410;0;D;1;1;3,5;;
2;8;421;0;A;0;1;7,3;;
2;8;428;1;A;0;1;6,1;;
2;8;432;0;M;0;1;4,9;;
2;8;443;0;M;1;1;8,1;;
2;8;446;1;M;0;1;6,2;;
2;8;451;0;A;0;1;5,7;;
2;8;452;1;A;1;1;5,4;;
2;8;462;0;A;1;1;4,4;;
2;8;480;1;A;0;1;5,6;;
3;9;887;0;M;1;1;6,1;;
3;9;891;0;M;0;1;4,1;;
3;9;892;1;M;1;1;3,4;;
3;9;899;0;P;1;1;5,1;;
3;9;907;0;A;0;1;5;;
3;9;913;0;M;0;1;3,7;;
3;9;915;0;D;0;1;4,6;;
3;9;923;0;A;1;1;5,2;;
3;9;925;1;P;0;1;4;;
3;9;926;0;D;0;1;4,2;;
3;9;928;0;P;1;1;4,2;;
3;9;936;0;P;0;1;6,4;;
3;9;939;1;M;0;1;4,3;;
3;9;948;0;D;1;1;4,2;;
3;9;956;1;M;1;1;6,3;;
3;10;1117;1;D;0;1;4,7;;
3;10;1145;1;D;0;1;5,3;;
3;10;1068;1;D;0;1;2,5;;
3;11;1022;0;M;0;1;5,3;;
3;11;1030;0;D;0;1;5;;
3;11;1031;0;P;0;1;7,2;;
3;11;1032;1;P;0;1;7,4;;
3;11;1043;0;M;1;1;6;;
3;11;1044;1;M;0;1;6,1;;
3;11;1153;0;M;0;1;7,6;;
3;11;1154;1;M;0;1;6;;
3;11;1156;0;A;1;1;7,8;;
3;11;1095;1;A;0;1;6,7;;
3;11;1005;1;D;1;1;3,5;;
3;11;1021;0;D;1;1;4,1;;
3;12;805;1;A;0;1;4,7;;
3;12;810;1;D;0;1;4,5;;
3;12;814;0;P;0;1;3,4;;
3;12;825;0;P;0;1;3,4;;
3;12;833;1;P;0;1;4,3;;
3;12;849;0;D;0;1;5,3;;
3;12;850;1;D;1;1;4,8;;
3;12;851;1;M;0;1;4,6;;
3;12;858;0;M;1;1;5,7;;
3;12;865;1;A;0;1;4,3;;
3;12;876;1;P;0;1;5,5;;
4;13;362;0;A;0;1;6,1;;
4;13;367;0;D;1;1;5,7;;
4;13;375;1;M;0;1;5,1;;
4;13;376;0;M;1;1;4,9;;
4;13;386;1;M;1;1;7,1;;
4;13;384;1;P;1;1;4,5;;
4;13;969;0;M;0;1;5;;
4;13;975;1;A;1;1;5;;
4;13;984;1;M;1;1;6,1;;
4;13;987;0;A;1;1;5,6;;
4;14;296;0;D;1;1;5,9;;
4;14;297;1;D;1;1;6,1;;
4;14;300;1;D;0;1;7,4;;
4;14;308;1;D;0;1;4;;
4;14;319;0;M;0;1;5,8;;
4;14;321;1;M;1;1;5,4;;
4;14;331;1;A;1;1;6,4;;
4;14;332;0;P;0;1;5,5;;
4;14;353;0;P;1;1;5,5;;
4;15;1453;1;D;1;1;4,9;;
4;15;1459;0;D;1;1;5,6;;
4;15;1463;1;P;0;1;4,8;;
4;15;1472;1;P;1;1;5,8;;
4;15;1475;1;M;0;1;4,1;;
4;15;1477;1;A;1;1;5,8;;
4;15;1496;0;A;1;1;3,3;;
4;15;1503;1;P;0;1;4,4;;
4;15;1524;0;A;0;1;5,2;;
