ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm2;hm3;e1;e2;e3
2;5;561;0;M;1;dorycnium;pistachia;anthyllis;17,2;13,2;27;3,34;1,91;3,82;21,2;13,5;23;;;
2;5;562;1;M;1;pistachia;anthyllis;dorycnium;18,2;20,9;34,7;2,89;2,15;2,73;19,7;22,5;35,1;;;
2;5;563;1;A;1;anthyllis;anthyllis;anthyllis;24,5;10;16,2;1,92;1,37;2,02;25,5;9;16,9;;;
2;5;564;1;D;1;dorycnium;dorycnium;dorycnium;21,5;32;24;3,15;3,02;3,24;29;36;34,5;;;
2;5;565;0;A;0;anthyllis;anthyllis;anthyllis;26;7,5;23,2;2,87;1,85;2,71;26,8;7;20,5;;;
2;5;566;1;D;1;dorycnium;dorycnium;dorycnium;D;D;D;2,36;2,22;2,63;D;D;D;;;
2;5;567;1;M;1;pistachia;anthyllis;dorycnium;21,7;31,5;24;3,73;2,93;4,06;25,2;33;23,5;;;
2;5;568;0;D;0;dorycnium;dorycnium;dorycnium;24;33,4;D;2,78;3,13;2,44;37,5;37,5;D;;;
2;5;569;0;M;0;pistachia;dorycnium;anthyllis;D;D;14;3,5;D;2,76;D;D;17,9;;;
2;5;570;0;P;0;pistachia;pistachia;pistachia;D;D;D;4,23;3,63;3,89;D;D;D;;;
2;5;571;1;P;1;pistachia;pistachia;pistachia;13,5;26;19;3,82;4,22;4,2;18,5;27;20,7;;;
2;5;577;0;P;0;pistachia;pistachia;pistachia;D;D;D;2,37;2,5;2,59;D;D;D;;;
2;5;579;0;M;1;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;5;580;1;M;1;pistachia;anthyllis;dorycnium;D;30,5;D;3,45;3,42;3,72;D;31,2;D;;;
2;5;581;1;P;0;pistachia;pistachia;pistachia;D;D;23;3,25;3,08;4,06;D;D;23,4;;;
2;5;582;0;D;1;dorycnium;dorycnium;dorycnium;37;31,5;D;4,75;3,96;4,31;37;38,2;D;;;
2;5;583;1;M;1;dorycnium;pistachia;anthyllis;25,5;12;29,5;2,53;4,17;2,68;27;11,5;31,5;;;
2;5;584;1;D;0;dorycnium;dorycnium;dorycnium;D;D;D;3,21;3,34;4,41;D;D;D;;;
2;5;585;1;P;1;pistachia;pistachia;pistachia;D;D;16,5;5,5;5,15;3,54;D;D;17;;;
2;5;586;1;A;0;anthyllis;anthyllis;anthyllis;21;17;18;3,9;2,91;2,58;29,5;27,2;20;;;
2;5;587;0;A;1;anthyllis;anthyllis;anthyllis;13;23,5;D;2,19;3,54;2,01;13,5;24;D;;;
2;5;589;0;M;0;anthyllis;pistachia;dorycnium;8;19;24,5;1,5;2,89;3,57;8;20;29;;;
2;5;590;0;P;1;pistachia;pistachia;pistachia;18;30;25;2,94;3,55;2,79;22;30,5;25;;;
2;5;591;0;P;0;pistachia;pistachia;pistachia;28;D;D;3;4,15;4,07;28;D;D;;;
2;5;592;0;P;0;pistachia;pistachia;pistachia;D;25,5;26;3,45;4,02;4,36;D;28;26;;;
2;5;593;0;D;0;dorycnium;dorycnium;dorycnium;28;30,5;28,5;3,01;2,24;2,24;29,5;31;29;;;
2;5;594;1;A;1;anthyllis;anthyllis;anthyllis;28,5;21;25;2,76;3,37;3,64;29,5;21;25;;;
2;5;595;0;A;0;anthyllis;anthyllis;anthyllis;38;30;27,5;3,19;2,11;2,73;38;32,5;35,5;;;
2;5;596;1;M;1;pistachia;anthyllis;dorycnium;D;24;28,5;3,8;2,33;3,04;D;23;30,5;;;
2;5;597;0;M;0;pistachia;dorycnium;anthyllis;D;34,5;25,5;4,05;3,75;2,21;D;35;32;;;
2;5;598;1;P;0;pistachia;pistachia;pistachia;D;D;15,5;5,01;2,91;2,76;D;D;18,5;;;
2;5;599;0;P;0;pistachia;pistachia;pistachia;D;D;D;D;3,41;4,61;D;D;D;;;
2;5;600;1;A;1;anthyllis;anthyllis;anthyllis;19,5;24,5;31;2,09;2,09;2,8;19;25;29,5;;;
2;5;601;0;P;1;pistachia;pistachia;pistachia;D;D;D;2,57;3,24;3,2;D;D;D;;;
2;5;602;1;P;0;pistachia;pistachia;pistachia;D;D;D;3,02;2,89;3,96;D;D;D;;;
2;5;603;0;A;1;anthyllis;anthyllis;anthyllis;D;22;13,5;3,12;2,22;2,48;D;23,5;23,5;;;
2;5;607;0;D;1;dorycnium;dorycnium;dorycnium;8;32;33;1,49;2,54;3,75;8;32,5;35,6;;;
2;5;611;0;D;0;dorycnium;dorycnium;dorycnium;D;D;D;1,94;2,3;2,34;D;D;D;;;
2;5;612;1;D;1;dorycnium;dorycnium;dorycnium;38,5;40,5;33;3,29;2,87;2,97;40,5;42;37,5;;;
2;5;613;1;A;0;anthyllis;anthyllis;anthyllis;19,5;27;22,6;2,73;2,45;2,03;20;20,9;20,8;;;
2;5;615;0;A;0;anthyllis;anthyllis;anthyllis;23;44;28,5;1,98;2,78;2,7;24,4;49,2;29,5;;;
2;5;617;0;D;0;dorycnium;dorycnium;dorycnium;D;D;19;2,28;2,98;2,9;D;D;21;;;
2;5;618;1;D;0;dorycnium;dorycnium;dorycnium;D;D;D;1,91;2,59;2,3;D;D;D;;;
2;5;619;0;M;0;dorycnium;pistachia;anthyllis;29;13;23;1,93;3,05;2,75;31;13,2;25,5;;;
2;5;620;1;M;1;anthyllis;dorycnium;pistachia;20,5;30,5;23,5;3,43;3,03;3,5;26;32;23,6;;;
2;5;622;0;M;0;pistachia;anthyllis;dorycnium;20;29;26;3,15;3,24;2,39;23,2;33;29;;;
2;5;623;1;M;0;anthyllis;pistachia;dorycnium;23;24,5;34,5;2,91;4,32;2,94;23;25,7;37;;;
2;5;624;0;A;0;anthyllis;anthyllis;anthyllis;23;33;26,5;3,25;3,71;3,73;21;31;28;;;
