ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm2;hm3
2;5;561;0;M;1;dorycnium;anthyllis;pistachia;7;17,4;19,9;3,2;1,65;4,14;29,3;19,2;22,8
2;5;562;1;M;1;pistachia;anthyllis;dorycnium;19;18,5;29,8;2,57;1,9;2,62;22,1;20,5;31,9
2;5;563;1;A;1;anthyllis;anthyllis;anthyllis;14,5;8,3;16,4;2,24;1,22;2,03;14,2;8,5;17,1
2;5;564;1;D;1;dorycnium;dorycnium;dorycnium;26;30,2;30;3,18;2,99;3,05;26;30,2;30,9
2;5;565;0;A;0;anthyllis;anthyllis;anthyllis;29,5;23;22,5;2,74;2,04;2,46;32;33,5;27
2;5;566;1;D;1;dorycnium;dorycnium;dorycnium;31,7;27,5;30,8;2,85;2,64;3,47;32,4;27,1;31,2
2;5;567;1;M;1;pistachia;anthyllis;dorycnium;23,4;31,3;28,7;3,49;3,01;4,41;23,6;31,3;28,6
2;5;568;0;D;0;dorycnium;dorycnium;dorycnium;22,8;21,5;26,7;2,73;3,23;2,59;31,9;32;27,4
2;5;569;0;M;0;pistachia;dorycnium;anthyllis;12,9;26,2;15,55;3,39;1,74;2,33;16,8;28,5;15,6
2;5;570;0;P;0;pistachia;pistachia;pistachia;23,7;20,8;23,7;5,09;3,59;4,33;24,6;21,8;24,7
2;5;571;1;P;1;pistachia;pistachia;pistachia;20,4;27,2;19,8;4,05;4,18;3,8;20,5;27,6;21,6
2;5;577;0;P;0;pistachia;pistachia;pistachia;16;16,7;21,9;2,72;2,6;2,85;16;17,1;23
2;5;579;0;M;1;dorycnium;anthyllis;pistachia;33,3;26,4;23;2,83;2,95;4,98;33,5;27;22,8
2;5;580;1;M;1;pistachia;anthyllis;dorycnium;27,3;29,2;31,1;3,7;3,47;3,53;31;46,4;31,7
2;5;581;1;P;0;pistachia;pistachia;pistachia;19,4;22,7;23;3,22;3,7;4,06;21,2;26,6;23,3
2;5;582;0;D;1;dorycnium;dorycnium;dorycnium;28;28,7;29,7;3,73;3,09;3,91;28,3;33,2;30,1
2;5;583;1;M;1;dorycnium;anthyllis;pistachia;25;35,4;15,5;2,61;2,54;3,78;25,5;38,2;16
2;5;584;1;D;0;dorycnium;dorycnium;dorycnium;26,2;28,4;29,1;3,49;3,65;3,84;27,1;30,7;29,6
2;5;585;1;P;1;pistachia;pistachia;pistachia;31,8;28,6;23,2;3,59;5,22;3,03;34,4;32,2;23,8
2;5;586;1;A;0;anthyllis;anthyllis;anthyllis;17;17,4;16,9;2,92;2,49;2,27;17,2;19,4;24,3
2;5;587;0;A;1;anthyllis;anthyllis;anthyllis;13,5;26;18,6;1,88;2,14;1,9;13,7;27,6;22
2;5;589;0;M;0;anthyllis;pistachia;dorycnium;7;23,5;22,5;1,56;2,59;3,14;7,4;23,2;23,4
2;5;590;0;P;1;pistachia;pistachia;pistachia;27;30,5;25,9;3,18;2,87;2,63;27,7;31,7;28,5
2;5;591;0;P;0;pistachia;pistachia;pistachia;27,8;26,4;24;2,97;3,98;3,53;28,7;29,5;26
2;5;592;0;P;0;pistachia;pistachia;pistachia;32,1;31,1;25,5;3,91;3,95;3,87;34,2;33;27,4
2;5;593;0;D;0;dorycnium;dorycnium;dorycnium;30;29,8;29;2,03;1,79;2,09;30,5;29,2;28,75
2;5;594;1;A;1;anthyllis;anthyllis;anthyllis;17,4;31,2;19,2;2,33;2,69;2,42;18,2;36,8;20
2;5;595;0;A;0;anthyllis;anthyllis;anthyllis;43;28,5;32,5;3;1,99;2,73;44,5;29,4;33,3
2;5;596;1;M;1;pistachia;anthyllis;dorycnium;22,7;21,1;27;3,57;2,16;3,02;22,6;21,2;26,4
2;5;597;0;M;0;pistachia;dorycnium;anthyllis;20,2;31;30,5;3,4;3,35;2,31;24,1;30,6;30,7
2;5;598;1;P;0;pistachia;pistachia;pistachia;26,5;31,3;17,4;4,92;3,16;2,51;30,2;29;20
2;5;599;0;P;0;pistachia;pistachia;pistachia;29,5;27,9;23,5;5,11;3,68;3,98;33,6;31,3;29,5
2;5;600;1;A;1;anthyllis;anthyllis;anthyllis;16,2;26,5;32;2,09;2,19;2,71;28,2;27,3;31,1
2;5;601;0;P;1;pistachia;pistachia;pistachia;19,2;19,5;25;3,17;3,3;3,37;22,5;22,8;25,3
2;5;602;1;P;0;pistachia;pistachia;pistachia;28,5;21,3;22,4;3,69;3,41;3,44;30,5;20,6;26,9
2;5;603;0;A;1;anthyllis;anthyllis;anthyllis;D;20,6;24,5;D;2,36;2,55;D;21,6;33,8
2;5;607;0;D;1;dorycnium;dorycnium;dorycnium;D;27,5;30,9;1,45;2,16;2,87;D;27,8;32,6
2;5;611;0;D;0;dorycnium;dorycnium;dorycnium;31,2;17,6;26,5;2,17;1,64;2,62;31,3;20,8;33,3
2;5;612;1;D;1;dorycnium;dorycnium;dorycnium;27,2;32,5;35,7;29,9;3,16;2,58;29,4;32,6;37
