ter	plot	label	ms	com	watering	sp1	sp2	sp3	h1	h2	h3	d1	d2	d3	fresh_mass1	fresh_mass2	fresh_mass3	fresh_m_f1	fresh_m_f2	fresh_m_f3
2	5	561	0	M	1	dorycnium	anthyllis	pistachia	22	16	21,3	3,15	1,85	3,62	0,074	0,256	1,272		0,174	1,071
2	5	562	1	M	1	pistachia	anthyllis	dorycnium	19,5	18	27,7	2,58	1,49	2,05	0,68	0,08	0,049	0,592	0,075	
2	5	563	1	A	1	anthyllis	anthyllis	anthyllis	12,5	7,5	14,4	1,41	1,16	1,79	0,076		0,082	0,069		0,077
2	5	564	1	D	1	dorycnium	dorycnium	dorycnium	22,5	29,5	29	2,64	2,96	2,97	0,11	0,073	0,068			
2	5	565	0	A	0	anthyllis	anthyllis	anthyllis	23	31	23,5	2,66	1,88	2,38	0,133		0,071	0,122		0,062
2	5	566	1	D	1	dorycnium	dorycnium	dorycnium	31	25	29,3	2,52	2,4	2,6						
2	5	567	1	M	1	pistachia	anthyllis	dorycnium	23,9	26,2	28,5	3,53	2,58	4,24	0,595	0,11	0,086	0,49	0,107	
2	5	568	0	D	0	dorycnium	dorycnium	dorycnium	28,3	25,8	29,5	2,67	2,94	2,5	0,06	0,035				
2	5	569	0	M	0	pistachia	dorycnium	anthyllis	13	26,8	12,9	4	1,64	2,18		0,042	0,072			0,063
2	5	570	0	P	0	pistachia	pistachia	pistachia	21,5	20,3	25,9	4,55	3,65	4,54	0,634			0,499		
2	5	571	1	P	1	pistachia	pistachia	pistachia	22,5	26,1	19,2	3,45	3,53	4	1,003	0,703	0,919	0,858	0,587	0,788
2	5	577	0	P	0	pistachia	pistachia	pistachia	16	15	22,4	2,57	2,66	2,87	0,349	0,394		0,296	0,311	
2	5	579	0	M	1	dorycnium	anthyllis	pistachia	33,8	22	24	4,4	2,45	2,84	0,041	0,135	1,003		0,128	0,823
2	5	580	1	M	1	pistachia	anthyllis	dorycnium	28	26	31	4,07	3,07	2,97	0,791	0,139		0,663	0,13	
2	5	581	1	P	0	pistachia	pistachia	pistachia	23	25,5	24,5	3,22	3,42	4,07	0,686	0,846	0,944	0,574	0,718	0,824
2	5	582	0	D	1	dorycnium	dorycnium	dorycnium	27,3	30	28,6	3,99	3,07	3,91	0,105	0,056	0,04			
2	5	583	1	M	1	dorycnium	anthyllis	pistachia	24	36	15,8	2,6	3,14	3,79	0,066	0,123	0,601		0,112	0,495
2	5	584	1	D	0	dorycnium	dorycnium	dorycnium	27	31	31,9	3,46	3,7	4,62						
2	5	585	1	P	1	pistachia	pistachia	pistachia	30	29,5	23	4,12	5,9	3,24	0,687	1,119	0,691	0,575	0,926	0,591
2	5	586	1	A	0	anthyllis	anthyllis	anthyllis	16	15,9	16,5	2,73	3,17	2,16			0,046			0,04
2	5	587	0	A	1	anthyllis	anthyllis	anthyllis	25	12	17,2	2,49	2,2	2,39						
2	5	589	0	M	0	anthyllis	pistachia	dorycnium	7,8	22,2	21	1,64	2,58	3,05		0,45	0,109		0,377	
2	5	590	0	P	1	pistachia	pistachia	pistachia	26,2	29,3	24	2,79	3,24	2,81	0,65	0,546	0,554	0,538	0,476	0,448
2	5	591	0	P	0	pistachia	pistachia	pistachia	26,5	26,5	23,3	2,98	4,44	3,85	0,665	0,776	0,745	0,561	0,624	0,643
2	5	592	0	P	0	pistachia	pistachia	pistachia	32,2	30,6	25,7	3,6	4,4	4,68	0,863	0,722	0,789	0,65	0,587	0,671
2	5	593	0	D	0	dorycnium	dorycnium	dorycnium	30	28,8	28,6	2,43	2,36	1,76	0,04	0,091	0,049			
2	5	594	1	A	1	anthyllis	anthyllis	anthyllis	15,5	22,5	19	2,31	2,73	2,41	0,149	0,098	0,126	0,139	0,085	0,111
2	5	595	0	A	0	anthyllis	anthyllis	anthyllis	44	29,3	31,4	2,05	2,97	2,77		0,07			0,061	
