ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm²;hm3;long_nurse;larg_nurse;rq
2;5;561;0;M;1;dorycnium;anthyllis;pistachia;;;;3,21;1,72;3,61;;;;;;
2;5;562;1;M;1;pistachia;anthyllis;dorycnium;;;;2,58;1,74;2;;;;93;93;
2;5;563;1;A;1;anthyllis;anthyllis;anthyllis;11,5;;;1,74;1,23;1,82;14;;;111;66;
2;5;564;1;D;1;dorycnium;dorycnium;dorycnium;;;;1,83;2,7;2,92;;;;70;61;
2;5;565;0;A;0;anthyllis;anthyllis;anthyllis;RS;;;2,48;1,87;2,39;;;;;;
2;5;566;1;D;1;dorycnium;dorycnium;dorycnium;;;;2,19;M;2,4;;;;84;57;
2;5;567;1;M;1;pistachia;anthyllis;dorycnium;;;;3,29;2,49;3,87;;;;67;47;
2;5;568;0;D;0;dorycnium;dorycnium;dorycnium;;;;2,42;2,73;2,01;;;;;;
2;5;569;0;M;0;pistachia;dorycnium;anthyllis;;;;3,36;M;2,53;;;;;;
2;5;570;0;P;0;pistachia;pistachia;pistachia;;;;4,78;3,23;3,87;;;;;;
2;5;571;1;P;1;pistachia;pistachia;pistachia;;;;4,44;3,67;3,8;;;;110;103;
2;5;577;0;P;0;pistachia;pistachia;pistachia;;;;2,3;2,58;2,62;;;;;;
2;5;578;0;M;1;dorycnium;anthyllis;pistachia;;;;2,78;2,75;3,91;;;;;;
2;5;580;1;M;1;pistachia;anthyllis;dorycnium;;RS;;3,63;2,84;2,65;;;;51;25;
2;5;581;1;P;0;pistachia;pistachia;pistachia;;;;2,91;3,36;4,23;;;;90;49;
2;5;582;0;D;1;dorycnium;dorycnium;dorycnium;;;;3,27;3,09;2,94;;;;;;
2;5;583;1;M;1;dorycnium;anthyllis;pistachia;;;;2,32;1,96;3,74;;;;128;108;
2;5;584;1;D;0;dorycnium;dorycnium;dorycnium;;;;3,11;3,08;3,43;;;;80;63;
2;5;585;1;P;1;pistachia;pistachia;pistachia;;;;3,19;4,79;2,8;;;;77;58;
2;5;586;1;A;0;anthyllis;anthyllis;anthyllis;;;;2,8;2,21;2,18;;;;71;44;
2;5;587;0;A;1;anthyllis;anthyllis;anthyllis;;;;1,73;1,34;M;;;;;;
2;5;589;0;M;0;pistachia;anthyllis;dorycnium;;;;2,3;1,17;2,73;;;;;;
2;5;590;0;P;1;pistachia;pistachia;pistachia;;;;2,68;2,6;2,42;;;;;;
2;5;591;0;P;0;pistachia;pistachia;pistachia;;;;2,63;3,97;3,07;;;;;;
2;5;592;0;P;0;pistachia;pistachia;pistachia;;;;3,76;3,05;3,6;;;;;;
2;5;593;0;D;0;dorycnium;dorycnium;dorycnium;;;;2,27;1,46;1,91;;;;;;
2;5;594;1;A;1;anthyllis;anthyllis;anthyllis;22;14;12;2,7;2,47;2,27;23;14,5;13,5;65;36;
2;5;595;0;A;0;anthyllis;anthyllis;anthyllis;;;;2,8;1,67;2,22;;;;;;
2;5;596;1;M;1;pistachia;dorycnium;anthyllis;;;;2,2;2,73;1,92;;;;80;57;
2;5;597;0;M;0;dorycnium;pistachia;anthyllis;;;;2,82;2,94;1,74;;;;;;
2;5;598;1;P;0;pistachia;pistachia;pistachia;;;;4,17;2,68;1,94;;;;160;119;
2;5;599;0;P;0;pistachia;pistachia;pistachia;;;;4,3;4,02;3,55;;;;;;
2;5;600;1;A;1;anthyllis;anthyllis;anthyllis;;;;1,9;2,48;1,65;;;;126;100;Cassé, lequel ?
2;5;601;0;P;1;pistachia;pistachia;pistachia;;;;3,01;2,4;2,97;;;;;;
2;5;602;1;P;0;pistachia;pistachia;pistachia;;;;2,75;3,05;3,41;;;;111;71;
2;5;603;0;A;1;anthyllis;anthyllis;anthyllis;;;;M;2,39;2,02;;;;;;
2;5;607;0;D;1;dorycnium;dorycnium;dorycnium;;C;;1,21;2,08;3,24;;;;;;
2;5;611;0;D;0;dorycnium;dorycnium;dorycnium;;;;1,46;1,99;2,21;;;;;;
2;5;612;1;D;1;dorycnium;dorycnium;dorycnium;;;;3,27;2,85;2,71;;;;141;114;
2;5;613;1;A;0;anthyllis;anthyllis;anthyllis;NF;NF;NF;2,69;1,89;2,78;;;;;;
2;5;615;0;A;0;anthyllis;anthyllis;anthyllis;;;;1,86;2,62;2,36;;;;;;
2;5;617;0;D;0;dorycnium;dorycnium;dorycnium;;;;2,8;2,24;2,63;;;;;;
2;5;618;1;D;0;dorycnium;dorycnium;dorycnium;;;;2,51;1,91;2,24;;;;122;96;
2;5;619;0;M;0;pistachia;dorycnium;anthyllis;;;19,5;2,98;1,69;2,37;;;20,3;;;
2;5;620;1;M;1;dorycnium;anthyllis;pistachia;;26;;2,58;2,85;2,9;;27;;137;131;
2;5;622;0;M;0;pistachia;anthyllis;dorycnium;;;;2,88;3,03;2,11;;;;;;
2;5;623;1;M;0;pistachia;anthyllis;dorycnium;1;;;2,78;3,67;2,48;1;;;93;77;
2;5;624;0;A;0;anthyllis;anthyllis;anthyllis;17;17;RS;3,22;3,67;3,12;18;17,5;RS;;;
2;5;625;1;A;0;anthyllis;anthyllis;anthyllis;25;;;3,32;2,77;2,71;26;;;74;66;
2;5;626;1;P;1;pistachia;pistachia;pistachia;;;;3,74;4,01;3,35;;;;148;113;
2;5;627;0;P;1;pistachia;pistachia;pistachia;;;;3,91;3,75;2,88;;;;;;
2;5;628;0;D;0;dorycnium;dorycnium;dorycnium;;;;M;3,89;3,36;;;;;;
2;5;629;1;D;0;dorycnium;dorycnium;dorycnium;;;;3,42;2,85;2,68;;;;141;65;
2;5;630;1;D;0;dorycnium;dorycnium;dorycnium;;;C;2,73;1,41;2,27;;;;96;70;
2;5;631;0;D;0;dorycnium;dorycnium;dorycnium;;;;M;2,83;1,67;;;;;;
2;5;632;1;A;1;anthyllis;anthyllis;anthyllis;;;;1,8;2,37;2,06;;;;125;110;
2;5;633;0;A;1;anthyllis;anthyllis;anthyllis;;;;3,26;3,92;2,31;;;;;;
2;5;634;0;A;0;anthyllis;anthyllis;anthyllis;;16;;1,65;3,52;3,14;;16,5;;;;
2;5;635;1;A;1;anthyllis;anthyllis;anthyllis;;18,5;;2,46;2,95;2,06;;18,5;;97;84;
2;5;636;0;D;1;dorycnium;dorycnium;dorycnium;;;;M;1,75;2,41;;;;;;
