ter,plot,label,com,sp,ind,fresh_mass,dry_mass
2,5,561,M,dorycnium,1,0.074,0.031
2,5,562,M,pistachia,1,0.68,0.332
2,5,563,A,anthyllis,1,0.076,0.021
2,5,564,D,dorycnium,1,0.11,0.05
2,5,565,A,anthyllis,1,0.133,0.051
2,5,567,M,pistachia,1,0.595,0.283
2,5,568,D,dorycnium,1,0.06,0.029
2,5,569,M,pistachia,1,0.621,0.361
2,5,570,P,pistachia,1,0.634,0.386
2,5,571,P,pistachia,1,1.003,0.497
2,5,577,P,pistachia,1,0.349,0.21
2,5,579,M,dorycnium,1,0.041,0.018
2,5,580,M,pistachia,1,0.791,0.408
2,5,581,P,pistachia,1,0.686,0.365
2,5,582,D,dorycnium,1,0.105,0.04
2,5,583,M,dorycnium,1,0.066,0.022
2,5,585,P,pistachia,1,0.687,0.335
2,5,586,A,anthyllis,1,0.086,0.037
2,5,590,P,pistachia,1,0.65,0.35
2,5,591,P,pistachia,1,0.665,0.372
2,5,592,P,pistachia,1,0.863,0.486
2,5,593,D,dorycnium,1,0.04,0.016
2,5,594,A,anthyllis,1,0.149,0.044
2,5,596,M,pistachia,1,0.477,0.221
2,5,601,P,pistachia,1,0.812,0.409
2,5,602,P,pistachia,1,0.448,0.27
2,5,611,D,dorycnium,1,0.036,0.012
2,5,612,D,dorycnium,1,0.062,0.022
3,9,882,A,anthyllis,1,0.13,0.044
3,9,887,M,pistachia,1,0.935,0.509
3,9,888,M,dorycnium,1,0.041,0.017
3,9,891,M,dorycnium,1,0.071,0.021
3,9,1329,M,anthyllis,1,0.03,0.01
3,9,908,A,anthyllis,1,0.211,NA
3,9,918,A,anthyllis,1,0.142,0.037
3,9,921,D,dorycnium,1,0.053,0.024
3,9,924,P,pistachia,1,0.798,0.433
3,9,928,P,pistachia,1,0.555,0.303
3,9,930,P,pistachia,1,0.708,NA
3,9,934,D,dorycnium,1,0.032,NA
3,9,941,A,anthyllis,1,0.099,0.037
3,9,944,P,pistachia,1,0.984,0.528
3,9,956,M,anthyllis,1,0.125,0.038
3,9,958,M,pistachia,1,0.632,0.335
3,10,1103,A,anthyllis,1,0.238,0.081
3,10,1114,A,anthyllis,1,0.12,0.031
3,10,1131,P,pistachia,1,0.575,0.285
3,10,1139,M,pistachia,1,1.222,0.663
3,10,1143,P,pistachia,1,0.601,0.306
3,10,1051,A,anthyllis,1,0.159,0.046
3,10,1060,D,dorycnium,1,0.038,0.016
3,10,1072,P,pistachia,1,1.091,0.57
3,11,1027,P,pistachia,1,0.617,0.403
3,11,1029,D,dorycnium,1,0.039,0.012
3,11,1030,D,dorycnium,1,0.042,0.016
3,11,1037,P,pistachia,1,0.607,0.399
3,11,1038,D,dorycnium,1,0.05,0.015
3,11,1039,P,pistachia,1,1.088,0.567
3,11,1041,P,pistachia,1,1.585,NA
3,11,1152,M,dorycnium,1,0.065,0.025
3,11,1153,M,anthyllis,1,0.136,0.042
3,11,1154,M,anthyllis,1,0.096,0.021
3,11,1088,D,dorycnium,1,0.046,0.014
3,11,1089,D,dorycnium,1,0.034,0.012
3,11,1095,A,anthyllis,1,0.098,0.032
3,11,1096,A,anthyllis,1,0.124,0.043
3,11,1003,P,pistachia,1,0.566,0.288
3,11,1009,D,dorycnium,1,0.081,0.022
3,11,1013,M,pistachia,1,0.515,NA
3,12,805,A,anthyllis,1,0.177,0.043
3,12,814,P,pistachia,1,0.494,0.297
3,12,822,A,anthyllis,1,0.088,0.03
3,12,838,P,pistachia,1,1.09,0.538
3,12,850,D,dorycnium,1,0.059,0.02
3,12,865,A,anthyllis,1,0.123,0.035
3,12,866,D,dorycnium,1,0.062,0.021
4,13,363,P,pistachia,1,0.721,0.347
4,13,368,D,dorycnium,1,0.06,0.023
4,13,369,A,anthyllis,1,0.211,0.06
4,13,372,A,anthyllis,1,0.207,0.046
4,13,374,P,pistachia,1,1.084,0.552
4,13,378,M,pistachia,1,1.175,0.619
4,13,383,P,pistachia,1,0.867,0.466
4,13,386,M,dorycnium,1,0.058,0.017
4,13,391,D,dorycnium,1,0.072,0.031
4,13,395,P,pistachia,1,0.904,0.461
4,13,960,D,dorycnium,1,0.081,0.03
4,13,967,P,pistachia,1,0.4,0.202
4,13,975,A,anthyllis,1,0.098,0.021
4,13,976,A,anthyllis,1,0.152,0.04
4,13,978,M,dorycnium,1,0.062,0.022
4,13,979,M,anthyllis,1,0.3,0.094
4,13,980,M,anthyllis,1,0.164,NA
4,13,981,A,anthyllis,1,NA,0.057
4,13,984,M,pistachia,1,0.9,0.426
4,13,991,D,dorycnium,1,0.057,0.02
4,14,282,A,anthyllis,1,0.267,0.095
4,14,288,M,pistachia,1,0.906,0.453
4,14,294,D,dorycnium,1,0.047,0.02
4,14,301,D,dorycnium,1,0.094,0.044
4,14,304,P,pistachia,1,1.043,0.546
4,14,313,P,pistachia,1,0.601,0.336
4,14,321,M,dorycnium,1,0.052,0.019
4,14,334,P,pistachia,1,1.108,0.656
4,14,335,A,anthyllis,1,0.094,0.039
4,14,336,A,anthyllis,1,0.167,0.045
4,14,341,D,dorycnium,1,0.059,0.025
4,14,347,A,anthyllis,1,0.064,0.02
4,14,348,D,dorycnium,1,0.058,0.02
4,14,350,P,pistachia,1,0.933,0.459
4,14,352,P,pistachia,1,0.292,0.177
4,14,354,M,pistachia,1,0.563,0.302
4,14,357,P,pistachia,1,0.473,0.298
4,15,1466,P,pistachia,1,0.898,0.514
4,15,1469,M,anthyllis,1,0.143,0.048
4,15,1474,P,pistachia,1,0.611,0.302
4,15,1476,M,dorycnium,1,0.048,0.014
4,15,1481,P,pistachia,1,0.528,0.285
4,15,1483,D,dorycnium,1,0.07,0.025
4,15,1484,D,dorycnium,1,0.061,0.022
4,15,1485,D,dorycnium,1,0.066,0.033
4,15,1495,A,anthyllis,1,0.08,0.019
4,15,1501,P,pistachia,1,1.137,0.584
4,15,1523,A,anthyllis,1,0.086,0.022
4,15,1524,A,anthyllis,1,0.102,0.035
4,15,1527,A,anthyllis,1,0.088,0.03
4,15,1529,M,dorycnium,1,0.048,0.017
2,5,561,M,anthyllis,2,0.182,0.05
2,5,562,M,anthyllis,2,0.08,0.027
2,5,564,D,dorycnium,2,0.073,0.029
2,5,566,D,dorycnium,2,NA,0.01
2,5,567,M,anthyllis,2,0.11,0.037
2,5,568,D,dorycnium,2,0.035,0.014
2,5,569,M,dorycnium,2,0.042,0.019
2,5,571,P,pistachia,2,0.703,0.379
2,5,577,P,pistachia,2,0.394,0.221
2,5,579,M,anthyllis,2,0.135,0.041
2,5,580,M,anthyllis,2,0.139,0.041
2,5,581,P,pistachia,2,0.846,0.452
