terrace;plot;treatment;watering;rabbit;label;ms
1A;1;1;1;0;86;1
1A;1;1;1;1;87;0
1A;1;1;0;1;88;1
1A;1;1;1;1;89;0
1A;1;1;0;1;90;0
1A;1;1;0;1;91;1
1A;1;1;1;1;92;1
1A;1;1;1;1;93;0
1A;1;1;0;1;94;1
1A;1;1;0;1;95;0
1A;1;1;0;1;96;0
1A;1;1;1;1;97;0
1A;1;1;1;1;98;1
1A;1;1;0;1;99;0
1A;1;1;0;1;100;0
1A;1;1;0;1;101;1
1A;1;1;1;0;102;0
1A;1;1;1;0;103;1
1A;1;1;0;1;104;0
1A;1;1;0;1;105;1
1A;1;1;0;1;106;1
1A;1;1;1;1;107;0
1A;1;1;1;1;108;1
1A;1;1;0;0;109;0
1A;1;1;1;1;110;1
1A;1;1;1;1;111;0
1A;1;1;1;0;112;1
1A;1;1;0;1;113;0
1A;1;1;0;1;114;0
1A;1;1;0;1;115;0
1A;1;1;0;1;116;1
1A;1;1;0;1;117;0
1A;1;1;1;1;118;1
1A;1;1;1;1;119;1
1A;1;1;0;1;120;0
1A;1;1;0;1;121;1
1A;1;1;0;1;122;0
1A;1;1;1;1;123;1
1A;1;1;0;1;124;0
1A;1;1;1;1;125;0
1A;1;1;1;1;126;1
1A;1;1;1;1;127;0
1A;1;1;0;1;128;1
1A;1;1;0;1;129;1
1A;1;1;1;1;130;1
1A;1;1;1;1;131;0
1A;1;1;1;1;132;1
1A;1;1;0;1;133;1
1A;1;1;1;1;134;0
1A;1;1;0;1;135;0
1A;1;1;1;1;136;1
1A;1;1;0;1;137;0
1A;1;1;0;1;138;0
1A;1;1;0;1;139;1
1A;1;1;1;1;140;0
1A;1;1;1;0;141;0
1A;1;1;1;0;142;1
1A;1;1;1;1;143;1
1A;1;1;1;0;144;0
1A;1;1;0;1;145;1
1A;1;1;0;1;146;0
1A;1;1;1;1;147;0
1A;1;1;0;1;148;1
1A;1;1;1;1;149;1
1A;1;1;1;1;150;0
1A;1;1;1;1;151;1
1A;1;1;0;1;152;1
1A;1;1;0;1;153;1
1A;1;1;0;1;154;0
1A;1;1;1;1;155;0
1A;1;1;1;1;156;1
1A;1;1;0;1;157;1
1A;1;1;1;1;158;0
1A;1;1;0;1;159;0
1A;1;1;0;1;160;1
1A;1;1;0;1;161;1
