ter	plot	label	com	ms	watering
3	9	887	M	0	1
3	9	888	M	1	1
3	9	891	M	0	0
3	9	1329	M	1	1
3	9	908	A	1	1
3	9	918	A	0	1
3	9	921	D	1	0
3	9	924	P	0	0
3	9	926	D	0	0
3	9	928	P	0	1
3	9	930	P	1	0
3	9	932	D	1	0
3	9	934	D	0	1
3	9	937	P	1	0
3	9	941	A	0	1
3	9	944	P	1	0
3	9	956	M	1	1
3	9	957	M	0	0
3	9	958	M	0	1
3	9	959	M	1	1
3	10	1103	A	0	0
3	10	1114	A	1	1
3	10	1131	P	0	1
3	10	1139	M	0	1
3	10	1143	P	0	1
3	10	1051	A	0	1
3	10	1060	D	0	0
3	10	1072	P	0	1
3	11	1027	P	1	0
3	11	1029	D	1	1
3	11	1030	D	0	0
3	11	1037	P	0	0
3	11	1038	D	1	1
3	11	1039	P	1	1
3	11	1041	P	0	0
3	11	1049	A	0	0
3	11	1050	A	0	0
3	11	1152	M	1	0
3	11	1153	M	0	0
3	11	1154	M	1	0
3	11	1084	A	0	0
3	11	1088	D	1	1
3	11	1089	D	0	0
3	11	1095	A	1	0
3	11	1096	A	1	1
3	11	1003	P	1	1
3	11	1009	D	0	1
3	11	1013	M	1	0
3	11	1014	M	0	0
3	11	1015	M	1	0
3	11	1019	D	1	0
3	12	805	A	1	0
3	12	814	P	0	0
3	12	816	D	0	1
3	12	822	A	0	1
3	12	834	M	0	1
3	12	838	P	1	1
3	12	844	A	1	1
3	12	847	D	0	1
3	12	850	D	1	1
3	12	865	A	1	0
3	12	866	D	1	0
3	12	874	P	1	1
4	13	363	P	1	0
4	13	368	D	1	0
4	13	369	A	1	0
4	13	372	A	0	1
4	13	374	P	1	1
4	13	376	M	0	1
4	13	378	M	0	0
4	13	383	P	0	1
4	13	386	M	1	1
4	13	391	D	0	1
4	13	392	A	0	0
4	13	395	P	0	1
4	13	960	D	0	1
4	13	967	P	0	0
4	13	971	M	1	0
4	13	975	A	1	1
4	13	976	A	0	1
4	13	978	M	1	0
4	13	979	M	0	1
4	13	981	A	1	0
4	13	984	M	1	1
4	13	991	D	1	1
4	13	993	D	0	0
4	13	997	D	1	0
4	14	282	A	1	0
4	14	288	M	0	0
4	14	294	D	1	0
4	14	300	D	1	0
4	14	301	D	0	0
4	14	303	P	1	0
4	14	304	P	0	1
4	14	312	D	0	0
4	14	313	P	0	0
4	14	321	M	1	1
4	14	330	A	0	1
4	14	334	P	1	0
4	14	335	A	0	0
4	14	336	A	1	1
4	14	340	D	1	1
4	14	341	D	0	1
4	14	347	A	0	1
4	14	348	D	1	1
4	14	349	A	1	0
4	14	350	P	1	1
4	14	352	P	1	0
4	14	354	M	1	0
4	14	357	P	1	1
4	15	1466	P	0	0
4	15	1468	M	0	0
4	15	1469	M	0	1
4	15	1474	P	0	0
4	15	1476	M	1	0
4	15	1481	P	1	1
4	15	1483	D	0	1
4	15	1484	D	1	1
4	15	1485	D	0	0
4	15	1488	M	0	0
4	15	1495	A	1	1
4	15	1501	P	0	1
4	15	1507	M	0	1
4	15	1523	A	1	1
4	15	1524	A	0	0
4	15	1527	A	0	0
4	15	1529	M	1	1
3	9	882	A	1	0
