ter;plot;label;ms;com;ind;sp;height;diameter;state;flower;;;;;
2;5;561;0;M;1;dorycnium;22;3,15;;;;;;;
2;5;562;1;M;1;pistachia;19,5;2,58;1;;;;;;
2;5;563;1;A;1;anthyllis;12,5;1,41;;;;;;;
2;5;564;1;D;1;dorycnium;22,5;2,64;;;;;;;
2;5;565;0;A;1;anthyllis;23;2,66;;;;;;;
2;5;566;1;D;1;dorycnium;31;2,52;;;;;;;
2;5;567;1;M;1;;23,9;3,53;;;;;;;
2;5;568;0;D;1;dorycnium;28,3;2,67;;;;;;;
2;5;569;0;M;1;pistachia;13;4;;;;;;;
2;5;570;0;P;1;pistachia;21,5;4,55;1;;;;;;
2;5;571;1;P;1;pistachia;22,5;3,45;;;;;;;
2;5;578;0;P;1;pistachia;16;2,57;1;;;;;;
2;5;579;0;M;1;dorycnium;33,8;4,4;;;;;;;
2;5;580;1;M;1;pistachia;28;4,07;2;;;;;;
2;5;581;1;P;1;pistachia;23;3,22;;;;;;;
2;5;582;0;D;1;dorycnium;27,3;3,99;;;;;;;
2;5;583;1;M;1;dorycnium;24;2,6;;;;;;;
2;5;584;1;D;1;dorycnium;27;3,46;;;;;;;
2;5;585;1;P;1;pistachia;30;4,12;;;;;;;
2;5;586;1;A;1;anthyllis;16;2,73;;;;;;;
2;5;587;0;A;1;anthyllis;25;2,49;;1;;;;;
2;5;588;1;M;1;anthyllis;;;;;;;;;
2;5;589;0;M;1;anthyllis;7,8;1,64;1;;;;;;
2;5;590;0;P;1;pistachia;26,2;2,79;2;;;;;;
2;5;591;0;P;1;pistachia;26,5;2,98;;;;;;;
2;5;592;0;P;1;pistachia;32,2;3,6;;;;;;;
2;5;593;0;D;1;dorycnium;30;2,43;;;;;;;
2;5;594;1;A;1;anthyllis;15,5;2,31;;;;;;;
2;5;595;0;A;1;anthyllis;44;2,05;;1;;;;;
2;5;596;1;M;1;pistachia;21,1;3,86;;;;;;;
2;5;597;0;M;1;pistachia;20;3,46;2;;;;;;
2;5;598;1;P;1;pistachia;29,9;4,12;1;;;;;;
2;5;599;0;P;1;pistachia;29,3;4,91;1;;;;;;
2;5;600;1;A;1;anthyllis;13;2,14;;;;;;;
2;5;601;0;P;1;pistachia;19,5;3,4;2;;;;;;
2;5;602;1;P;1;pistachia;28,9;3,68;2;;;;;;
2;5;603;0;A;1;anthyllis;18,5;1,13;;;;;;;
2;5;607;0;D;1;dorycnium;20,3;1,56;2;;;;;;
2;5;611;0;D;1;dorycnium;31,3;1,56;;;;;;;
2;5;612;1;D;1;dorycnium;25,5;3,03;;;;;;;
2;5;613;1;A;1;anthyllis;17,5;2,71;;;;;;;
2;5;615;0;A;1;anthyllis;20,4;2,13;;;;;;;
2;5;617;0;D;1;dorycnium;28,5;2,23;;;;;;;
2;5;618;1;D;1;dorycnium;31;2,06;;;;;;;
2;5;619;0;M;1;dorycnium;28,4;1,75;;;;;;;
2;5;620;1;M;1;anthyllis;18,4;2,13;;;;;;;
2;5;622;0;M;1;pistachia;19,2;3,08;1;;;;;;
2;5;623;1;M;1;pistachia;23,7;3,76;;;;;;;
2;5;624;0;A;1;anthyllis;16,6;2,33;;;;;;;
2;5;625;1;A;1;anthyllis;27;2,4;;1;;;;;
2;5;626;1;P;1;pistachia;27,5;4,61;1;;;;;;
2;5;627;0;P;1;pistachia;27,5;4,9;2;;;;;;
2;5;628;0;D;1;dorycnium;28,3;2,69;;;;;;;
2;5;629;1;D;1;dorycnium;27,5;4,25;;;;;;;
2;5;630;1;D;1;dorycnium;28,4;3,33;;;;;;;
2;5;631;0;D;1;dorycnium;19,9;3,51;;;;;;;
2;5;632;1;A;1;anthyllis;22,5;2,01;;1;;;;;
2;5;633;0;A;1;anthyllis;21,3;3,58;;;;;;;
2;5;634;0;A;1;anthyllis;12,7;1,73;;;;;;;
2;5;635;1;A;1;anthyllis;17,7;2,65;;1;;;;;
2;5;636;0;D;1;dorycnium;24,6;2,48;;;;;;;
2;5;637;1;D;1;dorycnium;29,5;2,47;;;;;;;
2;5;638;1;P;1;pistachia;21;3,19;;;;;;;
2;6;481;0;M;1;dorycnium;30,2;2,53;;;;;;;
2;6;482;1;D;1;dorycnium;30,1;2,86;;;;;;;
2;6;483;0;D;1;dorycnium;26,2;2,92;;;;;;;
2;6;484;1;M;1;pistachia;27,7;3,2;;;;;;;
2;6;485;1;A;1;anthyllis;19;3,52;;;;;;;
2;6;486;0;M;1;;30,1;2,34;;;;;;;
2;6;487;0;A;1;anthyllis;16,7;1,48;;;;;;;
2;6;488;1;A;1;anthyllis;22,2;2,01;;;;;;;
2;6;489;0;A;1;anthyllis;17;2,76;;;;;;;
2;6;490;0;D;1;dorycnium;26,7;2,04;;;;;;;
2;6;491;1;D;1;dorycnium;26,1;2,15;;;;;;;
2;6;494;0;A;1;anthyllis;18,4;1,75;;;;;;;
2;6;495;1;A;1;anthyllis;23,2;2,34;;;;;;;
2;6;502;1;P;1;pistachia;26,6;3,89;1;;;;;;
2;6;503;0;P;1;pistachia;33,6;3,84;2;;;;;;
2;6;504;1;P;1;pistachia;26,3;3,76;2;;;;;;
2;6;505;0;P;1;pistachia;21,4;3,61;2;;;;;;
2;6;506;1;D;1;dorycnium;30,5;2,63;;;;;;;
2;6;507;1;D;1;dorycnium;27,7;2,77;;;;;;;
2;6;508;0;D;1;dorycnium;19,7;2,66;;;;;;;
2;6;509;0;M;1;anthyllis;27;2,29;;1;;;;;
2;6;510;1;M;1;anthyllis;17;1,53;2;;;;;;
2;6;511;0;M;1;dorycnium;29,1;3,06;;;;;;;
2;6;512;1;M;1;anthyllis;17,8;2,43;;;;;;;
