label;microsite;treatment;P dead;P almost dead;A dead;A almost dead;T dead;T almost dead
1;p;A;0;0;0;0;0;0
2;o;A;0;0;0;0;0;0
3;o;M;0;0;0;0;0;0
4;p;M;0;1;0;0;0;0
5;o;P;0;0;0;0;0;0
6;p;P;0;2;0;0;0;0
7;o;T;0;0;0;0;0;0
8;o;P;0;0;0;0;0;0
9;p;P;0;1;0;0;0;0
10;p;T;0;0;0;0;0;0
11;p;T;0;0;0;0;0;0
12;o;T;0;0;0;0;0;0
13;o;A;0;0;0;0;0;0
14;p;A;0;0;0;0;0;0
15;o;A;0;0;0;0;0;0
16;p;A;0;0;0;0;0;0
17;o;M;0;0;0;0;0;0
18;p;M;0;0;0;0;0;0
19;o;T;0;0;0;0;0;0
20;p;T;0;0;0;0;0;0
21;o;M;0;0;0;0;0;0
22;p;M;0;0;0;0;0;1
23;p;P;0;0;0;0;0;0
24;o;P;0;0;0;0;0;0
25;p;P;0;0;0;0;0;0
26;o;P;0;1;0;0;0;0
28;p;M;0;0;0;0;0;1
29;o;M;0;0;0;0;0;0
30;p;T;0;0;0;0;0;0
31;p;P;1;2;0;0;0;0
45;o;T;0;0;0;0;0;0
33;o;P;3;0;0;0;0;0
27;o;T;0;0;0;0;0;0
32;p;T;0;0;0;0;0;0
34;o;A;0;0;0;0;0;0
35;p;A;0;0;0;0;0;0
37;p;A;0;0;0;0;0;0
38;o;A;0;0;0;0;0;0
36;p;P;1;2;0;0;0;0
40;o;P;1;1;0;0;0;0
39;p;M;1;0;0;0;0;0
41;o;M;1;0;0;0;0;0
42;p;P;2;0;0;0;0;0
43;o;P;3;0;0;0;0;0
44;o;P;0;0;0;0;0;0
47;p;P;0;2;0;0;0;0
46;o;A;0;0;0;0;0;0
48;p;A;0;0;0;0;0;0
999;o;P;0;0;0;0;0;0
49;p;P;3;0;0;0;0;0
NA;o;A;0;0;0;0;0;0
52;p;A;0;0;0;0;0;0
54;p;P;0;2;0;0;0;0
55;o;P;0;3;0;0;0;0
56;p;A;0;0;0;1;0;0
57;o;A;0;0;0;0;0;0
58;p;P;1;1;0;0;0;0
59;o;P;0;0;0;0;0;0
60;p;M;0;0;0;0;0;0
61;o;M;0;1;0;0;0;0
84;p;M;0;0;0;1;0;0
83;o;M;0;0;0;0;0;0
85;p;A;0;0;0;1;0;0
55;o;A;0;0;0;0;0;0
79;p;M;0;0;0;0;0;0
81;o;M;0;0;0;0;0;0
80;o;M;0;1;0;0;0;0
82;p;M;0;0;0;0;0;0
75;o;A;0;0;0;0;0;0
78;p;A;0;0;0;0;0;0
76;o;P;2;1;0;0;0;0
77;p;P;3;0;0;0;0;0
66;p;M;0;0;0;0;0;0
74;o;M;0;0;0;0;0;0
71;p;T;0;0;0;0;0;0
70;o;T;0;0;0;0;0;0
72;o;A;0;0;0;0;0;0
73;o;A;0;0;0;0;0;0
69;p;M;0;0;0;0;0;0
68;o;M;0;0;0;0;0;0
51;p;T;0;0;0;0;0;0
67;o;T;0;0;0;0;0;0
97;o;A;0;0;0;0;0;0
86;p;A;0;0;0;0;0;0
87;o;A;0;0;0;0;0;0
88;p;A;0;0;0;0;0;0
84;p;A;0;0;0;0;0;0
89;o;A;0;0;0;0;0;0
90;o;A;0;0;0;0;0;0
91;p;A;0;0;0;0;0;0
93;o;P;0;0;0;0;0;0
92;p;P;3;0;0;0;0;0
99;o;M;0;0;0;0;0;0
98;p;M;0;0;0;0;0;0
100;o;M;0;0;0;0;0;0
