terrace;plot;label;microsite;com;watering;probes;notes
2;5;561;0;M;;;
2;5;562;1;M;;;
2;5;563;1;A;;;
2;5;564;1;D;;;
2;5;565;0;A;;;
2;5;566;1;D;;;
2;5;567;1;M;;;
2;5;568;0;D;;;
2;5;569;0;M;;;
2;5;570;0;P;;;
2;5;571;1;P;;;
2;5;572;0;;;;
2;5;573;0;;;;
2;5;574;1;;;;
2;5;575;1;;;;
2;5;576;0;;;;
2;5;577;0;P;;;
2;5;578;1;;;;
2;5;579;0;M;;;
2;5;580;1;M;;;
2;5;581;1;P;;;
2;5;582;0;D;;;
2;5;583;1;M;;;
2;5;584;1;D;;;
2;5;585;1;P;;;
2;5;586;1;A;;;
2;5;587;0;A;;;
2;5;588;1;M;;;
2;5;589;0;M;;;
2;5;590;0;P;;;
2;5;591;0;P;;;
2;5;592;0;;;;
2;5;593;0;D;;;
2;5;594;1;A;;;
2;5;595;0;A;;;
2;5;596;1;M;;;
2;5;597;0;M;;;
2;5;598;1;P;;;
2;5;599;0;P;;;
2;5;600;1;A;;;
2;5;601;0;P;;;
2;5;602;1;P;;;
2;5;603;0;A;;;
2;5;604;0;;;;
2;5;605;1;;;;
2;5;606;1;;;;
2;5;607;0;M;;;
2;5;608;0;;;;
2;5;609;1;;;;
2;5;610;1;;;;
2;5;611;0;D;;;
2;5;612;1;D;;;
2;5;613;1;A;;;
2;5;614;1;;;;
2;5;615;0;A;;;
2;5;616;0;;;;
2;5;617;0;D;;;
2;5;618;1;D;;;
2;5;619;0;M;;;
2;5;620;1;M;;;
2;5;621;0;;;;
2;5;622;0;M;;;
2;5;623;1;M;;;
2;5;624;0;A;;;
2;5;625;1;A;;;
2;5;626;1;P;;;
2;5;627;0;P;;;
2;5;628;0;D;;;
2;5;629;1;D;;;
2;5;630;1;D;;;
2;5;631;0;D;;;
2;5;632;1;A;;;
2;5;633;0;A;;;
2;5;634;0;A;;;
2;5;635;1;A;;;
2;5;636;0;D;;;
2;5;637;1;D;;;
2;5;638;1;P;;;
2;6;481;0;;;;
2;6;482;1;D;;;
2;6;483;0;D;;;
2;6;484;1;M;;;
2;6;485;1;A;;;
2;6;486;0;M;;;
2;6;487;0;A;;;
2;6;488;1;A;;;
2;6;489;0;A;;;
2;6;490;0;D;;;
2;6;491;1;D;;;
2;6;492;0;;;;
2;6;493;1;;;;
2;6;494;0;A;;;
2;6;495;1;A;;;
2;6;496;0;;;;
2;6;497;1;;;;
2;6;498;1;M;;;
2;6;499;0;;;;
2;6;500;1;;;;
2;6;501;0;;;;
2;6;502;1;P;;;
2;6;503;0;P;;;
2;6;504;1;P;;;
2;6;505;0;P;;;
2;6;506;1;D;;;
2;6;507;1;D;;;
2;6;508;0;D;;;
2;6;509;0;M;;;
2;6;510;1;M;;;
2;6;511;0;M;;;
2;6;512;1;M;;;
2;6;513;0;P;;;
2;6;514;1;D;;;
2;6;515;0;D;;;
2;6;516;1;P;;;
2;6;517;1;A;;;
2;6;518;0;A;;;
2;6;519;1;M;;;
2;6;520;0;D;;;
2;6;521;1;P;;;
2;6;522;0;P;;;
2;6;523;1;P;;;
2;6;524;0;P;;;
2;6;525;0;P;;;
2;6;526;1;M;;;
2;6;527;0;;;;
2;6;528;1;P;;;
2;6;529;0;;;;
2;6;530;1;;;;
2;6;531;1;;;;
2;6;532;0;;;;
2;6;533;0;;;;
2;6;534;1;;;;
2;6;535;0;P;;;
2;6;536;1;P;;;
2;6;537;1;A;;;
2;6;538;0;A;;;
2;6;539;1;A;;;
2;6;540;0;A;;;
2;6;541;1;D;;;
2;6;542;0;M;;;
2;6;543;0;D;;;
2;6;544;1;D;;;
2;6;545;0;;;;
2;6;546;1;M;;;
2;6;547;0;;;;
2;6;548;1;;;;
2;6;549;1;D;;;
2;6;550;0;D;;;
2;6;551;0;M;;;
2;6;552;1;M;;;
2;6;553;1;;;;
2;6;554;0;;;;
2;6;555;1;A;;;
2;6;556;0;A;;;
2;6;557;1;M;;;
2;6;558;0;M;;;
2;6;559;1;A;;;
2;6;560;0;A;;;
2;7;641;0;A;;;
2;7;642;1;A;;;
2;7;643;1;;;;
2;7;644;0;D;;;
2;7;645;0;;;;
2;7;646;1;D;;;
2;7;647;1;;;;
2;7;648;0;D;;;
2;7;649;1;D;;;
2;7;650;1;;;;
2;7;651;0;;;;
2;7;652;1;;;;
2;7;653;0;;;;
2;7;654;1;;;;
2;7;655;0;;;;
2;7;656;0;M;;;
2;7;657;1;M;;;
2;7;658;0;A;;;
2;7;659;1;A;;;
2;7;660;1;M;;;
2;7;661;0;M;;;
2;7;662;1;;;;
2;7;663;0;M;;;
2;7;664;0;;;;
2;7;665;1;;;;
2;7;666;0;;;;
2;7;667;1;;;;
2;7;668;1;D;;;
2;7;669;0;D;;;
2;7;670;0;A;;;
2;7;671;1;A;;;
2;7;672;0;M;;;
2;7;673;1;M;;;
2;7;674;1;D;;;
2;7;675;0;D;;;
2;7;676;1;M;;;
2;7;677;1;;;;
2;7;678;0;;;;
2;7;679;0;P;;;
2;7;680;0;;;;
2;7;681;1;;;;
2;7;682;1;;;;
2;7;683;0;;;;
2;7;684;1;A;;;
2;7;685;0;A;;;
2;7;686;1;P;;;
2;7;687;0;P;;;
2;7;688;1;;;;
2;7;689;0;;;;
2;7;690;0;;;;
2;7;691;0;;;;
2;7;692;1;;;;
2;7;693;1;;;;
2;7;694;1;D;;;
2;7;696;1;;;;
2;7;697;1;;;;
2;7;698;0;D;;;
2;7;699;0;;;;
2;7;700;0;P;;;
2;7;701;1;P;;;
2;7;702;0;;;;
2;7;703;1;;;;
2;7;704;0;;;;
2;7;705;0;;;;
2;7;706;1;;;;
2;7;707;0;;;;
2;7;708;1;;;;
2;7;709;0;;;;
2;7;710;1;;;;
2;7;711;1;;;;
2;7;712;1;;;;
2;7;713;0;;;;
2;7;714;1;;;;
2;7;715;0;;;;
2;7;716;1;;;;
2;7;717;0;;;;
2;7;718;0;;;;
2;7;719;1;;;;
2;7;720;0;;;;
2;7;721;1;;;;
2;7;722;0;P;;;
2;7;723;1;P;;;
2;7;724;1;;;;
2;7;725;0;;;;
2;7;726;1;;;;
2;7;727;0;;;;
3;9;881;0;A;;;
3;9;882;1;A;;;
3;9;883;1;;;;
3;9;884;0;;;;
3;9;885;0;A;;;
3;9;886;1;A;;;
3;9;887;0;M;;;
3;9;888;1;M;;;
3;9;889;1;P;;;
3;9;890;0;P;;;
3;9;891;0;M;;;
3;9;892;1;M;;;
3;9;893;1;M;;;
3;9;894;0;M;;;
3;9;895;1;;;;
3;9;896;0;;;;
3;9;897;1;P;;;
3;9;898;0;P;;;
3;9;899;0;P;;;
3;9;900;1;P;;;
3;9;1329;1;M;;;
3;9;901;0;M;;;
3;9;902;0;;;;
3;9;903;1;;;;
3;9;904;0;;;;
3;9;905;0;D;;;
3;9;906;1;D;;;
3;9;907;0;A;;;
3;9;908;1;A;;;
3;9;909;1;;;;
3;9;910;0;;;;
3;9;911;1;;;;
3;9;912;1;M;;;
3;9;913;0;M;;;
3;9;914;1;D;;;
3;9;915;0;D;;;
3;9;916;1;D;;;
3;9;917;0;D;;;
3;9;918;0;A;;;
3;9;919;1;A;;;
3;9;920;0;D;;;
3;9;921;1;D;;;
3;9;922;1;A;;;
3;9;923;0;A;;;
3;9;924;0;P;;;
3;9;925;1;P;;;
3;9;926;0;D;;;
3;9;927;1;D;;;
3;9;928;0;P;;;
3;9;929;1;P;;;
3;9;930;1;P;;;
3;9;931;0;P;;;
3;9;932;1;D;;;
3;9;933;0;D;;;
3;9;934;0;D;;;
3;9;935;1;D;;;
3;9;936;0;P;;;
3;9;937;1;P;;;
3;9;938;0;M;;;
3;9;939;1;M;;;
3;9;940;0;;;;
3;9;941;0;A;;;
3;9;942;1;A;;;
3;9;943;0;P;;;
3;9;944;1;P;;;
3;9;945;1;;;;
3;9;946;0;;;;
3;9;947;1;D;;;
3;9;948;0;D;;;
3;9;949;1;;;;
3;9;950;1;A;;;
3;9;951;1;;;;
3;9;952;0;A;;;
3;9;953;1;A;;;
3;9;954;1;;;;
3;9;955;0;;;;
3;9;956;1;M;;;
3;9;957;0;M;;;
3;9;958;0;M;;;
3;9;959;1;M;;;
3;10;1101;0;;;;
3;10;1102;1;;;;
3;10;1103;0;A;;;
3;10;1104;0;;;;
3;10;1105;0;;;;
3;10;1106;1;;;;
3;10;1107;1;A;;;
3;10;1108;0;;;;
3;10;1109;1;;;;
3;10;1110;0;;;;
3;10;1111;0;;;;
3;10;1112;1;;;;
3;10;1113;0;A;;;
3;10;1114;1;A;;;
3;10;1115;0;;;;
3;10;1116;1;;;;
3;10;1117;1;D;;;
3;10;1118;0;D;;;
3;10;1119;1;;;;
3;10;1120;0;;;;
3;10;1121;1;P;;;
3;10;1122;1;;;;
3;10;1123;0;;;;
3;10;1124;1;;;;
3;10;1125;1;;;;
3;10;1126;1;;;;
3;10;1127;0;;;;
3;10;1128;1;;;;
3;10;1078;0;;;;
3;10;1129;0;;;;
3;10;1130;1;;;;
3;10;1131;0;P;;;
3;10;1077;1;P;;;
3;10;1132;0;;;;
3;10;1133;0;;;;
3;10;1134;0;P;;;
3;10;1135;1;P;;;
3;10;1136;1;;;;
3;10;1137;0;M;;;
3;10;1138;1;M;;;
3;10;1139;0;M;;;
3;10;1140;1;M;;;
3;10;1141;0;;;;
3;10;1142;1;;;;
3;10;1143;0;P;;;
3;10;1144;1;P;;;
3;10;1145;1;D;;;
